"Age","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Lng","Y.A","AY.A","Y.C","Y.G","Rate","QBR","Sk","Yds.1","NY.A","ANY.A","Sk.","X4QC","Wins"
24,192,316,60.8,1836,9,2.8,12,3.8,55,5.8,4.7,9.6,166.9,70.6,44.2,29,197,4.75,3.71,8.4,2,3
38,164,267,61.4,1978,9,3.4,7,2.6,46,7.4,6.9,12.1,282.6,84.4,52.5,22,150,6.33,5.86,7.6,2,3
34,154,238,64.7,1675,16,6.7,6,2.5,72,7,7.2,10.9,239.3,97.2,64.4,22,168,5.8,5.99,8.5,2,4
27,125,223,56.1,1412,5,2.2,6,2.7,57,6.3,5.6,11.3,176.5,71.4,37.2,21,159,5.14,4.44,8.6,1,1
26,120,178,67.4,1560,7,3.9,5,2.8,61,8.8,8.3,13,260,96.2,80.7,8,57,8.08,7.62,4.3,2,5
28,95,171,55.6,1086,6,3.5,6,3.5,52,6.4,5.5,11.4,217.2,71.9,30.6,23,149,4.83,4.06,11.9,2,2
35,96,163,58.9,1103,7,4.3,3,1.8,41,6.8,6.8,11.5,183.8,86,59.7,7,34,6.29,6.32,4.1,0,2
33,79,159,49.7,894,6,3.8,5,3.1,52,5.6,5,11.3,178.8,66.4,36.7,7,40,5.14,4.51,4.2,1,3
28,93,140,66.4,833,4,2.9,5,3.6,29,6,4.9,9,208.3,76.9,28.3,8,78,5.1,4.12,5.4,0,1
33,78,127,61.4,861,4,3.1,5,3.9,61,6.8,5.6,11,215.3,75.6,44.3,12,95,5.51,4.47,8.6,1,0
28,57,101,56.4,537,5,5,2,2,35,5.3,5.4,9.4,76.7,79.5,34.7,5,44,4.65,4.75,4.7,1,2
22,22,35,62.9,284,0,0,1,2.9,51,8.1,6.8,12.9,284,76.4,61.8,2,15,7.27,6.05,5.4,0,1
36,452,675,67,5129,34,5,16,2.4,97,7.6,7.5,11.3,320.6,96.5,73,24,166,7.1,7.04,3.4,2,9
29,430,639,67.3,4593,39,6.1,15,2.3,68,7.2,7.4,10.7,287.1,98.7,71.5,18,134,6.79,6.95,2.7,3,10
33,422,608,69.4,4924,35,5.8,7,1.2,75,8.1,8.7,11.7,307.8,108.1,70.6,42,296,7.12,7.71,6.5,1,7
30,425,606,70.1,4298,30,5,10,1.7,75,7.1,7.3,10.1,268.6,99.7,60.6,40,262,6.25,6.48,6.2,1,8
35,372,597,62.3,4442,25,4.2,2,0.3,75,7.4,8.1,11.9,277.6,97.6,56.8,49,353,6.33,6.96,7.6,3,6
30,365,586,62.3,3890,18,3.1,15,2.6,64,6.6,6.1,10.7,243.1,81.2,47.9,34,235,5.9,5.39,5.5,3,6
23,383,580,66,5097,50,8.6,12,2.1,89,8.8,9.6,13.3,318.6,113.8,82,26,171,8.13,8.89,4.3,2,12
37,380,576,66,4299,21,3.6,11,1.9,58,7.5,7.3,11.3,268.7,92.4,51.2,47,358,6.33,6.21,7.5,1,5
41,375,570,65.8,4355,29,5.1,11,1.9,63,7.6,7.8,11.6,272.2,97.7,68.8,21,147,7.12,7.26,3.6,1,11
24,364,561,64.9,4688,32,5.7,12,2.1,70,8.4,8.5,12.9,293,101.1,65.4,33,223,7.52,7.69,5.6,4,13
30,367,555,66.1,3777,21,3.8,11,2,67,6.8,6.7,10.3,236.1,89.9,50.9,40,255,5.92,5.79,6.7,0,6
